asin,price_pos,leak_pos,absorb_pos,comfort_pos,material_pos,package_pos,size_pos,price_neg,leak_neg,absorb_neg,comfort_neg,material_neg,package_neg,size_neg
B01EAGUZAY,12,34,0,62,14,12,31,0,0,0,0,0,0,0
B01F1RXFBM,0,2,0,8,2,0,3,0,0,0,0,0,0,0
B01FUURB2O,0,0,0,0,0,3,0,0,0,0,0,0,0,0
B01FV6OZEE,2,4,13,2,0,5,0,0,0,0,0,0,0,0
B01GVVHXJ2,5,0,0,2,1,1,0,0,0,0,0,0,1,0
B01HL1REGS,1,0,3,4,0,0,0,0,0,0,0,0,0,0
B01HQVLX7O,4,2,3,3,0,5,0,0,0,0,0,0,0,0
B01IDA4FOU,3,0,3,9,4,1,0,0,0,0,0,0,0,0
B01IDA4MFM,2,2,3,0,0,0,0,0,0,0,0,0,0,0
B01IH5NB3M,0,7,4,6,1,0,4,0,0,0,2,0,0,0
B01IR2AISQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B01JSBV49M,0,2,7,2,0,0,0,0,0,3,0,0,0,0
B01KUJTSFI,7,49,16,122,7,2,38,0,2,0,2,0,0,0
B01LW2OYC1,3,0,3,9,4,1,0,0,0,0,0,0,0,0
B01M63RZXI,3,0,0,2,0,0,0,0,0,0,0,0,0,0
B01M8MQEVZ,0,0,0,2,0,2,0,0,0,0,0,0,0,0
B01N1GUS0U,11,6,0,14,0,3,2,1,0,0,3,0,0,0
B01N30WTQ1,1,0,1,0,2,2,1,0,0,0,0,0,0,0
B01N63E1JO,8,57,4,161,12,3,57,0,0,0,8,0,0,0
B01N63E1OD,7,46,4,114,13,1,48,0,0,0,5,0,0,0
B06W56C333,0,0,7,6,0,0,0,0,0,0,0,0,0,0
B06XNQ2R5T,3,4,3,0,0,3,0,0,1,0,0,0,0,0
B06XYDHPRC,0,0,4,2,0,2,0,0,1,0,0,0,0,0
B06XYDRJDN,0,6,0,2,0,0,0,0,0,0,0,0,0,0
B06XYG8NVQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B06XYHT94X,1,0,6,0,0,0,0,0,0,0,0,0,0,0
B06XYJC7DT,0,2,7,0,0,0,0,0,0,0,0,0,0,0
B06XYJGQ1Z,2,2,0,0,0,0,1,0,0,0,0,0,0,1
B06XYKCVWP,3,4,1,3,0,2,0,0,0,0,0,0,0,0
B06ZY7BR3V,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B0713WD6BK,1,7,2,12,2,0,17,0,0,0,0,0,0,0
B07192ZQ3L,0,2,5,4,2,0,2,0,0,0,0,0,0,0
B071HDJH7W,1,0,3,4,0,0,0,0,0,0,2,0,0,0
B071V7GS92,9,5,6,2,3,1,9,0,2,0,0,0,0,0
B071VD5LF7,1,0,0,0,0,3,1,0,0,0,0,0,0,0
B071W8R7GW,0,11,0,2,1,0,2,0,0,0,0,0,0,0
B07258JQ9M,3,0,0,8,0,3,1,0,0,0,0,0,0,0
B0727P5W6L,0,2,0,5,3,0,4,0,0,0,0,0,0,0
B072FGYPPF,0,0,0,2,0,0,3,0,0,0,0,0,0,0
B072L6J47G,3,0,0,15,4,2,4,0,0,0,0,0,0,1
B072NBV7SF,5,2,0,16,0,1,2,0,0,0,0,0,0,0
B072Q2LYJ9,2,51,3,59,7,5,19,0,4,0,3,0,0,0
B073ZFFMFP,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B073ZGL2NC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B073ZGQLXG,0,0,0,2,0,0,0,0,0,0,0,0,0,0
B073ZGWD2F,0,0,0,1,0,0,0,0,0,0,0,0,0,0
B074G1PNCV,0,0,3,0,0,0,1,0,0,0,0,0,0,0
B074L5CZDP,11,0,14,14,1,2,4,0,2,0,0,0,0,0
B074P5PQ7M,0,0,0,2,0,4,1,0,0,0,0,0,0,0
B074PBX6ZY,0,0,0,0,0,0,1,0,0,0,0,0,0,0
B0757LWQDW,0,0,0,12,0,2,3,0,0,0,0,0,0,0
B0757XT5HP,6,38,0,114,13,3,65,0,4,0,7,0,0,0
B0757YRJS6,2,3,0,14,0,0,5,0,0,0,0,0,0,0
B0759RB3LK,8,17,62,35,6,1,8,0,2,0,3,0,0,0
B075DJJ96Q,2,0,0,0,1,3,0,0,0,0,0,0,0,0
B075FT15H4,2,4,21,13,0,0,2,0,0,0,3,0,0,0
B075FX12L3,2,2,5,6,0,2,0,0,0,0,0,0,0,0
B075LMJBWV,0,0,0,0,0,1,0,0,0,0,0,0,0,0
B0766DYYYV,0,2,0,0,0,0,0,0,0,0,0,0,0,0
B0771Y7YQ1,0,0,7,7,0,0,0,0,0,0,0,0,0,0
B077PXF7QY,1,0,0,0,0,0,0,0,0,0,0,0,0,0
B077RJV4MM,5,37,0,70,14,4,53,0,4,0,16,0,0,0
B077RTQKV5,13,99,3,142,7,1,65,0,9,0,5,0,0,0
B077XDM51Q,2,16,44,54,8,3,12,0,4,0,9,0,0,0
B0787Z96WS,0,0,0,0,0,1,0,0,0,0,0,0,0,0
B0788LW7QD,4,4,12,8,1,0,10,0,0,0,3,0,0,0
B078JJWVSJ,3,2,0,0,0,0,1,0,0,0,0,0,0,0
B0796QM5ZJ,1,5,31,9,0,1,11,0,0,0,0,0,0,0
B079JSS8LD,7,65,8,129,6,0,19,0,2,0,11,0,0,0
B079JYJBF2,1,8,0,7,0,0,2,0,0,0,0,0,0,0
B079KFS95M,0,0,0,4,3,0,3,0,0,0,0,0,0,0
B079LVKBYQ,1,6,0,26,0,0,3,0,2,0,0,0,0,0
B079PVXX8D,1,7,3,10,2,2,7,0,2,0,2,0,0,0
B079PVXXGY,2,0,0,7,0,0,6,0,2,0,0,0,0,0
B079Q14QDP,0,6,0,2,0,0,1,0,0,0,0,0,0,0
B079Q14YXT,1,10,0,8,1,0,4,0,0,0,0,0,0,0
B079Q1FLZ9,2,2,0,8,0,0,3,0,2,0,2,0,0,0
B079Q2CFDL,0,0,0,3,1,0,2,0,4,0,2,0,0,1
B079Q315PN,1,0,0,4,1,0,6,0,0,0,0,0,0,0
B079Q31Q7C,0,9,0,4,1,2,15,0,0,0,0,0,0,0
B079Q4MMZP,1,0,0,4,0,2,4,0,0,0,0,0,0,0
B079Q5LPDC,0,4,3,2,0,0,3,0,0,0,0,0,0,0
B079Q5NLR1,0,2,0,2,1,0,1,0,0,0,0,0,0,0
B079Q8ZH5R,0,2,0,7,0,0,4,0,0,0,0,0,0,0
B079Q8ZWC9,0,0,0,2,1,0,1,0,0,0,0,0,0,0
B079Q8ZWDS,0,0,0,2,1,1,3,0,0,0,0,0,0,0
B079Q8ZWFX,2,8,0,15,6,2,8,0,0,0,0,0,0,0
B079Q8ZWLL,0,2,0,8,1,0,3,0,2,0,0,0,0,0
B079Q934H8,0,2,0,4,1,0,1,0,0,0,0,0,0,0
B079Q934P2,0,2,0,2,1,0,1,0,0,0,0,0,0,1
B079Q96FNX,0,0,0,9,1,0,0,0,0,0,0,0,0,0
B079Q96FNY,1,6,0,12,2,3,2,0,1,0,0,0,0,0
B079Q96FNZ,0,5,0,6,2,0,3,0,0,0,0,0,0,0
B079QCF3DK,0,1,0,15,1,0,3,0,0,0,0,0,0,0
B079QDMMM9,0,2,0,8,0,0,6,0,0,0,0,0,0,0
B079QDZ2LH,0,0,0,4,0,0,1,0,0,0,0,0,0,0
B079QDZ2MC,1,3,0,8,1,1,1,0,0,0,0,0,0,0
B079QFC2GK,0,7,0,14,2,0,4,0,0,0,0,0,0,0
B079QFC2JM,0,6,0,0,0,0,2,0,2,0,0,0,0,0
B079QFXG19,0,0,0,0,3,0,0,0,0,0,0,0,0,0
B079QGT2Z3,0,0,0,2,0,0,0,0,0,0,0,0,0,0
B079QHDD7X,1,10,0,44,6,0,14,0,0,0,0,0,0,0
B079QHDJ32,0,0,0,2,0,0,0,0,0,0,0,0,0,0
